,Lift Switch,,,,,,,,Total filament (g),,,Unit Cost,Total Cost,Total Print time (hr),,,
,Version:,2.0,,Last updated:,2024-Mar-25,,,,15,,, $42.99 , $77.57 ,1:51,,,
ID,Part,Description,,Manufacturer,MPN,Supplier,Supplier PN,QTY,QTY / PKG,PKGs,$/PKG,Price per Unit,Total Price,,Link,Alternate,
,Electronics,,,,,,,,,,,,,,,,
C,XA2,PRO TRINKET LI-BATTERY BACKPACK,,Adafruit Industries LLC,2124,Digi-Key,1528-1443-ND,1,1,1,7.29, $7.29 , $7.29 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/2124/5761211,,
B,XA1,TRINKET M0 ATSAMD21E18 EVAL BRD,,Adafruit Industries LLC,3500,Digi-Key,1528-2361-ND,1,1,1,13.17, $13.17 , $13.17 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/3500/7623049,,
D,J1,CONN JACK STEREO 3.5MM TH R/A,,"Kycon, Inc.",STX-3000,Digi-Key,2092-STX-3000-ND,1,1,1,1.18, $1.18 , $1.18 ,,https://www.digikey.ca/en/products/detail/kycon-inc/STX-3000/9975995,,
H,SW1,SWITCH SLIDE SPDT 100MA 12V,,Nidec Copal Electronics,CSS-1210TB,Digi-Key,563-1091-1-ND,1,1,1,0.91, $0.91 , $0.91 ,,https://www.digikey.ca/en/products/detail/nidec-components-corporation/CSS-1210TB/1124209,,
E,U1,"DIP-4 400V/120 MA, SSR RELAY SPS",,"Bright Toward Industrial Co., Ltd.",AB30,Digi-Key,3008-AB30-ND,1,1,1,2.72, $2.72 , $2.72 ,,https://www.digikey.ca/en/products/detail/bright-toward-industrial-co-ltd/AB30/13556959,,
G,SW2,"6 X 7.4 MM, 15.3 MM ACTUATOR HEI",,CUI Devices,TS11-674-153-BK-260-RA-D,Digi-Key,2223-TS11-674-153-BK-260-RA-D-ND,1,1,1,0.24, $0.24 , $0.24 ,,https://www.digikey.ca/en/products/detail/cui-devices/TS11-674-153-BK-260-RA-D/16562823,,
F,R1,RES 330 OHM 5% 1/4W AXIAL,,YAGEO,CFR-25JB-52-330R,Digi-Key,330QBK-ND,1,1,1,0.16, $0.16 , $0.16 ,,https://www.digikey.ca/en/products/detail/yageo/CFR-25JB-52-330R/1636,,
I,,3.5 mm digital output plug,,CUI Devices,SP-3533-02,Digi-Key,102-4747-ND,1,1,1,2.68, $2.68 , $2.68 ,,https://www.digikey.ca/en/products/detail/cui-devices/SP-3533-02/9486641 ,,
M,,LIGHT PIPE RA. 150 3MM ROUND,,Bivar Inc,SLP3-150-450-R,Digikey,492-2519-ND,1,1,1,1.19, $1.19 , $1.19 ,,https://www.digikey.ca/en/products/detail/bivar-inc/SLP3-150-450-R/4926816,,
N,,3.7V 110 mAh lithium-ion polymer battery,,Canada Robotix,0930,Canada Robotix,,1,1,1,5.99, $5.99 , $5.99 ,,https://www.canadarobotix.com/products/939 ,,
Q,,"M2x0.4 x 25 mm screws, flat head",,McMaster Carr,92010A111,McMaster Carr,92010A111,3,50,1, $9.31 , $0.56 , $9.31 ,,https://www.mcmaster.com/catalog/130/3484/92010A111,,
,,,,,,,,,,0,, $-   , $-   ,,,,
,Custom PCB,,,,,,,,,,,,,,,,
,Part,Description,,Manufacturer,,Supplier,Supplier PN,QTY,QTY / PKG,PKG,$/PKG,Price per Unit,Total Price,,Link,,
A,PCB1,Lift Switch Adapter Custom PCB,,JLCPCB,,,,1,5,1,7.28,1.46,7.28,,,,
,PCB Shipping,PCB Shipping - DHL Express,Shipping,,,,,1,5,1,25,5,25,,,,
,PCB Shipping,PCB Shipping - Fedex International,Shipping,,,,,0,5,0,25,0,0,,,,
,,,,,,,,,,,,,,,,,
,3D Printed Parts                                                                                     ESTIMATED PRICING USING 1KG ROLL COST:, $30.00 ,,,,,,,,,,,,,,,
,Part,Description,,,,,,QTY, Mass (g),,Estimated Price,Estimated Price,Estimated Price,Print Time (hr:Min),Link,,
O.1,,Lift Switch Base,,,,,,1,6,, $0.18 , $0.18 , $0.18 ,0:41,,,
O.2,,Lift Switch Top,,,,,,1,8,, $0.24 , $0.24 , $0.24 ,1:07,,,
P,,Lift Switch Power Switch,,,,,,1,1,, $0.03 , $0.03 , $0.03 ,0:03,,,
,,,,,,,,,,, $-   , $-   , $-   ,,,,
,Alternatives,,,,,,,,,,,,,,,,
,Part,Description,,Manufacturer,,Supplier,,,,,,,,,,,
,,,,,,,,,1,0,, $-   , $-   ,,,,
,,,,,,,,,1,1,, $-   , $-   ,,,,
,,,,,,,,,1,1,, $-   , $-   ,,,,
